001	F	1
002	M	0
003	F	0
004	F	0
005	M	0
006	F	0
007	M	0
008	F	0
009	F	0
010	F	0
011	F	1
012	M	0
013	F	0
014	M	0
015	F	0
016	M	0
017	F	0
018	M	0
019	M	0
020	M	0
021	M	1
022	M	0
023	M	0
024	M	0
025	F	0
026	M	0
027	F	0
028	M	0
029	F	0
030	M	0
031	F	1
032	M	0
033	M	0
034	F	0
035	M	0
036	M	0
037	F	0
038	F	0
039	M	0
040	F	0
041	F	1
042	F	0
043	M	0
044	F	0
045	M	0
046	F	0
047	M	0
048	F	0
049	F	0
050	M	0
051	F	1
052	F	0
053	F	0
054	M	0
055	M	0
056	F	0
057	M	0
058	M	0
059	F	0
060	F	0
061	F	1
062	F	0
063	F	0
064	F	0
065	F	0
066	F	0
067	F	0
068	M	0
069	F	0
070	F	0
071	F	1
072	M	0
073	F	0
074	F	0
075	M	0
076	M	0
077	F	0
078	F	0
079	M	0
080	F	0
081	F	1
082	M	0
083	M	0
084	M	0
085	M	0
086	M	0
087	M	0
088	M	0
089	M	0
090	F	0
091	M	1
092	F	0
093	F	0
094	F	0
095	F	0
096	F	0
097	F	0
098	F	0
099	M	0
100	F	0
101	F	1
102	M	0
103	M	0
104	F	0
105	F	0
106	M	0
107	M	0
108	M	0
109	M	0
110	M	0
111	M	1
112	M	0
113	M	0
114	F	0
115	M	0
116	M	0
117	F	0
118	F	0
119	F	0
120	F	0
121	F	1
122	M	0
123	F	0
124	M	0
125	F	0
126	F	0
127	F	0
128	M	0
129	M	0
130	M	0
131	M	1
132	M	0
133	M	0
134	F	0
135	M	0
136	M	0
137	F	0
138	F	0
139	M	0
140	M	0
141	M	1
142	M	0
143	F	0
144	M	0
145	M	0
146	M	0
147	F	0
148	M	0
149	F	0
150	M	0
151	M	1
152	M	0
153	F	0
154	M	0
155	F	0
156	M	0
157	F	0
158	M	0
159	F	0
160	F	0
161	M	1
162	M	0
163	F	0
164	M	0
165	F	0
166	F	0
167	F	0
168	F	0
169	F	0
170	F	0
171	F	1
172	F	0
173	F	0
174	M	0
175	F	0
176	M	0
177	F	0
178	M	0
179	F	0
180	M	0
181	M	1
182	M	0
183	M	0
184	F	0
185	M	0
186	M	0
187	F	0
188	F	0
189	F	0
190	F	0
191	F	1
192	M	0
193	M	0
194	M	0
195	M	0
196	M	0
197	F	0
198	F	0
199	F	0
200	M	0
